kategori,rincian_masalah,status,tanggal_masuk,tanggal_selesai,id_laporan,skpd,response_time
SAMPAH,TIDAK DISEBUTKAN,COMPLETE,2020-11-02,2020-11-02,QL001396034,KELURAHAN CEMPAKA PUTIH TIMUR,0
SAMPAH,TIDAK DISEBUTKAN,COMPLETE,2020-11-02,2020-11-02,QL001396144,KELURAHAN GAMBIR,0
SAMPAH,TIDAK DISEBUTKAN,COMPLETE,2020-11-02,2020-11-02,QL001396305,KELURAHAN SUMUR BATU,0
PENANGANAN BANJIR,TIDAK DISEBUTKAN,COMPLETE,2020-11-02,2020-11-02,QL001396352,KELURAHAN KARTINI,0
GANGGUAN KETENTERAMAN DAN KETERTIBAN,TIDAK DISEBUTKAN,COMPLETE,2020-11-02,2020-11-03,QL001396343,KELURAHAN GAMBIR,1
GANGGUAN KETENTERAMAN DAN KETERTIBAN,TIDAK DISEBUTKAN,COMPLETE,2020-11-02,2020-11-03,QL001396342,KELURAHAN GAMBIR,1
BANTUAN SOSIAL,TIDAK DISEBUTKAN,COMPLETE,2020-11-01,2020-11-01,JK2011010172,KELURAHAN KARET TENGSIN,0
SAMPAH,TIDAK DISEBUTKAN,COMPLETE,2020-11-01,2020-11-01,QL001397468,KELURAHAN PETOJO SELATAN,0
PENANGANAN KEBAKARAN,TIDAK DISEBUTKAN,COMPLETE,2020-11-01,2020-11-01,JK2011010115,KELURAHAN KEBON KOSONG,0
JARINGAN LISTRIK,TIDAK DISEBUTKAN,COMPLETE,2020-11-01,2020-11-01,JK2011010074,KELURAHAN RAWASARI,0
SAMPAH,TIDAK DISEBUTKAN,COMPLETE,2020-11-01,2020-11-01,QL001397444,KELURAHAN PASEBAN,0
SAMPAH,TIDAK DISEBUTKAN,COMPLETE,2020-11-01,2020-11-01,QL001397426,KELURAHAN KARTINI,0
PEKERJA PENANGANAN PRASARANA DAN SARANA UMUM KELURAHAN,TIDAK DISEBUTKAN,COMPLETE,2020-11-01,2020-11-01,JK2011010036,KELURAHAN BENDUNGAN HILIR,0
